1,ACX,Agua Caliente,100,1101,104200
2,AIK,(H) (T) Aiken,40,1101,104200
3,AKS,AK-SAR-BEN,27,1101,104200
4,ALB,Albuquerque,31,1101,104200
5,AP,Arlington Park,13,1101,104200
6,APD,(T) Apache Downs,36,1101,104200
7,APX,Arlington Park,13,1101,104200
8,AQU,AQUEDUCT,32,1101,104200
9,ARP,Arapahoe Park,6,1101,104200
10,ASD,Assiniboia Downs,99,1101,104200
11,ATH,(H) Atlanta,10,1101,104200
12,ATL,Atlantic City,30,1101,104200
13,ATO,Atokad Park,27,1101,104200
14,AVN,(H) Avon-Sugarberry,32,1101,104200
15,BCF,Brown County Fair,41,1101,104200
16,BEL,Belmont Park,32,1101,104200
17,BEU,Beulah Park,35,1101,104200
18,BGD,Blue Grass Downs,17,1101,104200
19,BIL,Billings,26,1101,104200
20,BIR,Birmingham Turf Club,1,1101,104200
21,BM,Bay Meadows,5,1101,104200
22,BMF,Bay Meadows,5,1101,104200
23,BML,Balmoral Park,13,1101,104200
24,BMX,Bay Meadows,5,1101,104200
25,BND,Bandera Downs,43,1101,104200
26,BOI,Boise (Les Bois Park),12,1101,104200
27,BOW,Bowie,20,1101,104200
28,BRD,Blue Ribbon Downs,36,1101,104200
29,CAM,(H) (T) Camden,40,1101,104200
31,CBY,Canterbury Downs,23,1101,104200
32,CD,Churchill Downs,17,1101,104200
33,CDA,Coeur d'Alene,12,1101,104200
34,CDX,Churchill Downs,17,1101,104200
35,CEN,Centennial Race Track,6,1101,104200
36,CHA,(H) Charleston,40,1101,104200
37,CLM,(H) Clemmons,33,1101,104200
38,CLS,Columbus,27,1101,104200
39,CMX,(T) Classic Mile Farm,9,1101,104200
40,COL,(T) Colello Training Center,47,1101,104200
41,CRC,Calder Race Course,9,1101,104200
42,CTC,(T) Crabtree Training Center,43,1101,104200
43,CTX,Charles Town,48,1101,104200
44,CWF,Central Wyoming Fair,50,1101,104200
45,DAR,Darby Downs,35,1101,104200
46,DED,Delta Downs,18,1101,104200
47,DEL,Delaware Park,8,1101,104200
48,DEP,Desert Park,99,1101,104200
49,DET,Detroit Race Course,22,1101,104200
50,DIA,(T) Diamond D Ranch,43,1101,104200
51,DMF,Del Mar Fair,5,1101,104200
52,DMR,Del mar,5,1101,104200
53,DND,(T) Don Dee Farm,9,1101,104200
54,DRS,(T) Dal Reo Stock Farm,99,1101,104200
55,DUE,(H) Dueling Grouds,17,1101,104200
56,DYR,(T) Derby Run Training Center,9,1101,104200
57,EDX,Energy Downs,50,1101,104200
58,ELP,Ellis Park,17,1101,104200
59,EMD,Emerald Downs,47,1101,104200
60,ENP,(T) Enoch Park,99,1101,104200
61,EP,Exhibition Park,99,1101,104200
62,EPT,(T) El Primero Training Center,43,1101,104200
63,EPX,Exhibition Park,99,1101,104200
64,ERD,Erie Downs,38,1101,104200
65,EUR,Eureka Downs,16,1101,104200
66,EVD,Evangeline Downs,18,1101,104200
67,FAI,Fair Hill,20,1101,104200
68,FAX,(H) Fairfax,46,1101,104200
69,FER,Ferndale,5,1101,104200
70,FEX,Fort Erie,99,1101,104200
71,FGX,Fair Grounds,18,1101,104200
72,FHX,(H) Far Hills,30,1101,104200
73,FLX,Finer Lakes,32,1101,104200
74,FMT,Fair Meadows (Tulsa State Fair),36,1101,104200
75,FNO,Fresno,5,1101,104200
76,FON,Fonner Park,27,1101,104200
77,FOX,Foxboro Park,21,1101,104200
78,FPX,Fairmount Park,13,1101,104200
79,FTP,Fort Pierre,41,1101,104200
80,FXX,(H) Foxfield,46,1101,104200
81,GBF,Gret Barrington Fair,21,1101,104200
82,GDX,(T) Galway Downs,5,1101,104200
83,GF,Great Falls,26,1101,104200
84,GFX,Great Falls,26,1101,104200
85,GG,Golden Gate,5,1101,104200
86,GGX,Golden Gate,5,1101,104200
87,GIL,Gillespie County Fair,43,1101,104200
88,GLN,(H) Glyndon,20,1101,104200
89,GNF,(T) Goldrun Farms,47,1101,104200
90,GNX,(H) Grand national,20,1101,104200
91,GP,Gulfstream Park,9,1101,104200
92,GPX,Gulfstream Park,9,1101,104200
93,GRD,Greenwood,99,1101,104200
94,GRM,(H) Great Meadows,46,1101,104200
95,GRP,Grants Pass,37,1101,104200
96,GSX,Garden State,30,1101,104200
97,GTW,Gateway Downs,41,1101,104200
98,GVX,(H) Genesee Valley,32,1101,104200
99,GYB,(T) Guy Bar Farms,47,1101,104200
100,HAP,Harbor Park,47,1101,104200
101,HAW,Hawthorne,13,1101,104200
102,HER,(T) Heritage Training Facility,47,1101,104200
103,HFX,(T) Hart Farm Training Center,9,1101,104200
104,HIA,Hialeah Park,9,1101,104200
105,HOL,Hollywood,5,1101,104200
106,HOU,Sam Houston,43,1101,104200
107,HPX,Hazel Park,22,1101,104200
109,HTC,(T) Hamilton Training Center,99,1101,104200
110,HVX,(T) Hidden Valley,47,1101,104200
111,JND,Jefferson Downs,18,1101,104200
112,JUA,Juarez,100,1101,104200
113,KAM,Kamloops,99,1101,104200
114,KEE,Keeneland,17,1101,104200
115,KEY,Keystone,38,1101,104200
116,KHC,(T) Kentucky Horse Center,17,1101,104200
117,KIN,Kin Park,99,1101,104200
118,LA,Los Alamitos,5,1101,104200
119,LAD,Louisiana Downs,18,1101,104200
120,LAM,La Mesa Park,31,1101,104200
121,LAP,(T) Las Palmas Downs,43,1101,104200
122,LAT,Latonia,17,1101,104200
123,LAX,Los Alamitos,5,1101,104200
124,LEX,(H) Lexington,17,1101,104200
125,LGA,Longacres,47,1101,104200
126,LIG,(H) Ligonier,38,1101,104200
127,LNN,Lincoln State Fair,27,1101,104200
128,LRL,Laurel Race Course,20,1101,104200
129,MAL,(H) Malvern,38,1101,104200
130,MAR,Marlboro,20,1101,104200
131,MAS,(H) Mason Dixon,35,1101,104200
132,MD,Marquis Downs,99,1101,104200
133,MDX,Marquis Downs,99,1101,104200
134,MED,Meadowlands,30,1101,104200
135,MEP,Metrapark,26,1101,104200
136,MEX,Mexico City,100,1101,104200
137,MFX,Marshfield Fair,21,1101,104200
138,MID,(H) (T) Middleburg,46,1101,104200
139,MIX,Midway Downs,36,1101,104200
140,MNR,Mountaineer Park,48,1101,104200
141,MON,(H) Monkton,20,1101,104200
142,MOR,(H) Morven Park,46,1101,104200
143,MPM,Mt. Pleasant,22,1101,104200
144,MTH,Monmouth Park,30,1101,104200
145,MTP,(H) Montpelier`,46,1101,104200
146,NCX,(T) Nursery Course,99,1101,104200
147,NMP,Northampton,21,1101,104200
148,NOW,(T) Northwood Thoroughbred Farm,47,1101,104200
149,NP,Northlands Park,99,1101,104200
150,NPX,Northlands Park,99,1101,104200
151,OP,Oaklawn Park,4,1101,104200
152,OPX,Oaklawn Park,4,1101,104200
153,OTC,(T) Ocala Training Center,9,1101,104200
154,OXM,(H) Oxmoor,17,1101,104200
155,PAY,(T) Payson Park,9,1101,104200
156,PBD,(T) Palm Beach Downs,9,1101,104200
157,PBX,(H) Red Bank,30,1101,104200
158,PEN,Penn National,38,1101,104200
159,PHA,Philadelphia Park,38,1101,104200
160,PIM,Pimlico,20,1101,104200
161,PJX,Park Jefferson,41,1101,104200
162,PLA,Playfair,47,1101,104200
163,PLN,Pleasanton,5,1101,104200
164,PM,Portland Meadows,37,1101,104200
165,PMB,(H) Palm Beach,9,1101,104200
166,PMF,Portland Meadows Fair,37,1101,104200
167,PMT,(H) Pine Mountain,10,1101,104200
168,PMX,Portland Meadows,37,1101,104200
169,POM,Pomona,5,1101,104200
170,PPX,Pikes Peaks Meadows,6,1101,104200
171,PRE,Prescott Downs,3,1101,104200
172,PRM,Prairie Meadows,15,1101,104200
173,PRO,(H) Prospect,17,1101,104200
174,PST,(T) Post Time Traingin Center,9,1101,104200
175,PTF,(T) Paulson Training Farm,47,1101,104200
176,PWX,(H) Percy Warner,42,1101,104200
177,QBY,Queensbury Downs,99,1101,104200
178,RAP,Rapid City,41,1101,104200
179,RD,River Downs,35,1101,104200
180,RDX,River Downs,35,1101,104200
181,REB,(T) Reber Ranch Training Track,47,1101,104200
182,REG,Regina,99,1101,104200
183,RIL,Rilito,3,1101,104200
184,RKM,Rockingham Park,29,1101,104200
185,ROS,(T) Rosehill Farm,47,1101,104200
186,RP,Remington Park,36,1101,104200
187,RPX,Remington Park,36,1101,104200
188,RUI,Ruidoso,31,1101,104200
189,RWD,Rollie White Downs,43,1101,104200
190,SA,Santa Anita,5,1101,104200
191,SAC,Sacramento,5,1101,104200
192,SAG,Sagebrush Downs,37,1101,104200
193,SAL,Salem,37,1101,104200
194,SAN,Sandown Park,99,1101,104200
195,SAR,Saratoga,32,1101,104200
196,SED,Sedalia,25,1101,104200
197,SFE,Santa Fe,31,1101,104200
