class added,enum,id,name,parent_id,table_field_name_id,description,,,,,
,,100000,RaceCharts,NULL,100000,Race Charts,,,,,
,,100001,PastPerformances,NULL,100000,Past Performances,,,,,
race,distance_unit_category,100100,Y,NULL,100100,Yards,,,,,
race,distance_unit_category,100101,M,NULL,100100,Meters,,,,,
race,distance_unit_category,100102,F,NULL,100100,Furlongs,,,,,
race,old_surface_category,100200,D,NULL,100200,main (dirt or all weather),,,,,
race,old_surface_category,100201,d,NULL,100200,inner (inner dirt),,,,,
race,old_surface_category,100202,T,NULL,100200,main turf,,,,,
race,old_surface_category,100203,t,NULL,100200,inner turf,,,,,
race,new_surface_category,100300,A,NULL,100300,"main AW (All-Weather only, excludes dir)",,,,,
race,new_surface_category,100301,D,NULL,100300,"main (dirt only, excludes AW)",,,,,
race,new_surface_category,100302,d,NULL,100300,inner dirt,,,,,
race,new_surface_category,100303,T,NULL,100300,turf,,,,,
race,new_surface_category,100304,t,NULL,100300,inner turf,,,,,
race,bris_category,100400,G1,NULL,100400,Grade I stk/hcp,,,,,
race,bris_category,100401,G2,NULL,100400,Grad II stk/hcp,,,,,
race,bris_category,100402,G3,NULL,100400,Grade III stk/hcp,,,,,
race,bris_category,100403,1C,NULL,100400,Grade I Canadian,,,,,
race,bris_category,100404,2C,NULL,100400,Grade II Canadian,,,,,
race,bris_category,100405,3C,NULL,100400,Grade III Canadian,,,,,
race,bris_category,100406,N,NULL,100400,non-graded stk/hcp,,,,,
race,bris_category,100407,A,NULL,100400,allowance,,,,,
race,bris_category,100408,AO,NULL,100400,Allowance Opt. Clmg,,,,,
race,bris_category,100409,R,NULL,100400,Starter Alw,,,,,
race,bris_category,100410,T,NULL,100400,Starter Hcp,,,,,
race,bris_category,100411,F,NULL,100400,Trial,,,,,
race,bris_category,100412,C,NULL,100400,Claiming,,,,,
race,bris_category,100413,CO,NULL,100400,Optional Claiming,,,,,
race,bris_category,100414,S,NULL,100400,Maiden Sp Wt,,,,,
race,bris_category,100415,M,NULL,100400,Maiden Claiming,,,,,
race,bris_category,100416,MO,NULL,100400,Maiden Opt. Clmg,,,,,
race,bris_category,100417,NO,NULL,100400,Optional Clmg Stk,,,,,
race,bris_category,100418,G0,NULL,100400,Doc needs interpretation,,,,,
race,eqb_category,100500,CLM,NULL,100500,Claiming,,,,,
race,eqb_category,100501,ALW,NULL,100500,Allowance,,,,,
race,eqb_category,100502,MCL,NULL,100500,Maiden Claiming,,,,,
race,eqb_category,100503,MSW,NULL,100500,Maiden Sp Weight,,,,,
race,eqb_category,100504,STK,NULL,100500,Stakes,,,,,
race,eqb_category,100505,MDN,NULL,100500,Maiden,,,,,
race,eqb_category,100506,STR,NULL,100500,Starter Allowance,,,,,
race,eqb_category,100507,FTR,NULL,100500,Futurity Trial,,,,,
race,eqb_category,100508,AOC,NULL,100500,Allowance Option Clmg,,,,,
race,eqb_category,100509,HCP,NULL,100500,Handicap,,,,,
race,eqb_category,100510,SHP,NULL,100500,Starter Handicap,,,,,
race,eqb_category,100511,TRL,NULL,100500,Trial,,,,,
race,eqb_category,100512,MOC,NULL,100500,Unknown Type,,,,,
race,eqb_category,100513,WMC,NULL,100500,Unknown Type,,,,,
race,eqb_category,100514,WCL,NULL,100500,Unknown Type,,,,,
race,eqb_category,100515,FNL,NULL,100500,Unknown Type,,,,,
race,eqb_category,100516,SOC,NULL,100500,Unknown Type,,,,,
race,grade_category,100600,0,NULL,100600,Not Graded,,,,,
race,grade_category,100601,1,NULL,100600,Grade I,,,,,
race,grade_category,100602,2,NULL,100600,Grade II,,,,,
race,grade_category,100603,3,NULL,100600,Grade III,,,,,
race,grade_category,100604,5,NULL,100600,Grade I Canada,,,,,
race,grade_category,100605,6,NULL,100600,Grade II Canada,,,,,
race,grade_category,100606,7,NULL,100600,Grade III Canada,,,,,
race,age_restriction_category,100700,A,NULL,100700,2 year olds,,,,,
race,age_restriction_category,100701,B,NULL,100700,3 year olds,,,,,
race,age_restriction_category,100703,C,NULL,100700,4 year olds,,,,,
race,age_restriction_category,100704,D,NULL,100700,5 year olds,,,,,
race,age_restriction_category,100705,E,NULL,100700,3 & 4 year olds,,,,,
race,age_restriction_category,100706,F,NULL,100700,4 & 5 year olds,,,,,
race,age_restriction_category,100707,G,NULL,100700,"3, 4 & 5 year olds",,,,,
race,age_restriction_category,100708,H,NULL,100700,all ages,,,,,
race,sex_restriction_category,100800,N,NULL,100800,No Sex Restrictions,,,,,
race,sex_restriction_category,100801,M,NULL,100800,Mares and Fillies Only,,,,,
race,sex_restriction_category,100802,C,NULL,100800,colts and/or Geldings Only,,,,,
race,sex_restriction_category,100803,F,NULL,100800,Fillies Only,,,,,
race,restriction_category,100900,TB,NULL,100900,ThoroughBred,,,,,
race,restriction_category,100901,QH,NULL,100900,Quarter Horse,,,,,
race,restriction_category,100902,PT,NULL,100900,Unknown Type,,,,,
race,track_condition_category,101000,FT,NULL,101000,fast,,,,,
race,track_condition_category,101001,WF,NULL,101000,wet fast,,,,,
race,track_condition_category,101002,FR,NULL,101000,frozen,,,,,
race,track_condition_category,101003,GD,NULL,101000,good,,,,,
race,track_condition_category,101004,SY,NULL,101000,sloppy,,,,,
race,track_condition_category,101005,MY,NULL,101000,muddy,,,,,
race,track_condition_category,101006,SL,NULL,101000,slow,,,,,
race,track_condition_category,101007,HY,NULL,101000,heavy,,,,,
race,track_condition_category,101008,HD,NULL,101000,hard,,,,,
race,track_condition_category,101009,FM,NULL,101000,firm,,,,,
race,track_condition_category,101010,YL,NULL,101000,yielding,,,,,
race,track_condition_category,101011,SF,NULL,101000,soft,,,,,
horse,breed_category,101100,RaceCategory,NULL,101100,TBD by doc,,,,,
horse,breed_category,101200,TB,NULL,101200,Thoroughbred,,,,,
horse,breed_category,101201,QH,NULL,101200,Quarter Horse,,,,,
horse,breed_category,101202,PT,NULL,101200,Paint,,,,,
horse,breed_category,101203,MX,NULL,101200,Mix,,,,,
horse,breed_category,101204,AP,NULL,101200,Appaloosa,,,,,
horse,breed_category,101205,AR,NULL,101200,Arabian,,,,,
,,101300,JockeyCategory,NULL,101300,TBD by doc,,,,,
,,101400,TrainerCategory,NULL,101400,TBD by doc,,,,,
,,101500,OwnerCategory,NULL,101500,TBD by doc,,,,,
,,101600,HorseCategory,NULL,101600,TBD by doc,,,,,
start_medications,category,101700,A,NULL,101700,Adjunct Bleeder Medication,,,,,
start_medications,category,101701,B,NULL,101700,Bute,,,,,
start_medications,category,101702,C,NULL,101700,First Time Bute,,,,,
start_medications,category,101703,D,NULL,101700,Lasix,,,,,
start_medications,category,101704,M,NULL,101700,First Lasix,,,,,
,,101800,DisqualificationStartCategory,NULL,101800,TBD by doc,,,,,
start_equipments,category,101900,1,NULL,101900,Running W's,,,101900,1,101900
start_equipments,category,101901,2,NULL,101900,Screens,,,101901,2,101901
start_equipments,category,101902,3,NULL,101900,Shields,,,101902,3,101902
start_equipments,category,101903,A,NULL,101900,Aluminum Pads,,,101903,A,101903
start_equipments,category,101904,B,NULL,101900,Blinkers,,,101904,B,101904
start_equipments,category,101905,C,NULL,101900,Mud Calks,,,101905,C,101905
start_equipments,category,101906,D,NULL,101900,Glued Shoes,,,101906,D,101906
start_equipments,category,101907,E,NULL,101900,Inner Rims,,,101907,E,101907
start_equipments,category,101908,F,NULL,101900,Front bandages,,,101908,F,101908
start_equipments,category,101909,G,NULL,101900,Goggles,,,101909,G,101909
start_equipments,category,101910,H,NULL,101900,Outer Rims,,,101910,H,101910
start_equipments,category,101911,I,NULL,101900,Inserts,,,101911,I,101911
start_equipments,category,101912,J,NULL,101900,Aluminum Pad,,,101912,J,101912
start_equipments,category,101913,K,NULL,101900,Flipping halter,,,101913,K,101913
start_equipments,category,101914,L,NULL,101900,Bar Shoes,,,101914,L,101914
start_equipments,category,101915,M,NULL,101900,Blocks,,,101915,M,101915
start_equipments,category,101916,N,NULL,101900,No Whip,,,101916,N,101916
start_equipments,category,101917,O,NULL,101900,Blinkers Off,,,101917,O,101917
start_equipments,category,101918,P,NULL,101900,Pads,,,101918,P,101918
start_equipments,category,101919,Q,NULL,101900,Nasal Strip off,,,101919,Q,101919
start_equipments,category,101920,R,NULL,101900,Bar Shoe,,,101920,R,101920
start_equipments,category,101921,S,NULL,101900,Nasal Strip,,,101921,S,101921
start_equipments,category,101922,T,NULL,101900,Turndowns,,,101922,T,101922
start_equipments,category,101923,U,NULL,101900,Spurs,,,101923,U,101923
start_equipments,category,101924,W,NULL,101900,Queen's Plates,,,101924,W,101924
start_equipments,category,101925,Y,NULL,101900,No Shoes,,,101925,Y,101925
start_equipments,category,101926,Z,NULL,101900,Tongue Tie,,,101926,Z,101926
start_equipments,category,101927,0,NULL,101900,No Equipment,,,101927,0,101927
,,102000,StartUnfinishedCategory,NULL,102000,TBD by doc,,,,,
,,102100,TrackCategory,NULL,102100,TBD by doc,,,,,
call,category,102200,StartCall,NULL,102200,Start Call,,,,,
call,category,102201,Call#1,NULL,102200,Call # 1,,,,,
call,category,102202,Call#2,NULL,102200,Call # 2,,,,,
call,category,102203,Call#3,NULL,102200,Call # 3,,,,,
call,category,102204,Stretch,NULL,102200,Stretch Call,,,,,
call,category,102205,Finish,NULL,102200,Finish Call,,,,,
call,category,102206,Official,NULL,102200,Official Call,,,,,
pp_call,category,102207,PPStartCall,NULL,102200,??,,,102207,PPStartCall,102207
pp_call,category,102208,PPCall#1,NULL,102200,??,,,102208,PPCall#1,102208
pp_call,category,102209,PPCall#2,NULL,102200,??,,,102209,PPCall#2,102209
pp_call,category,102210,PPGateCall,NULL,102200,??,,,102210,PPGateCall,102210
pp_call,category,102211,PPStretch,NULL,102200,??,,,102211,PPStretch,102211
pp_call,category,102212,PPFinish,NULL,102200,??,,,102212,PPFinish,102212
pp_call,category,102213,PPMoney,NULL,102200,??,,,102213,PPMoney,102213
exotic_bet,wager_category,102300,Exacta,NULL,102300,TBD by doc and data,,,102300,Exacta,102300
exotic_bet,wager_category,102301,Superfecta,NULL,102300,TBD by doc and data,,,102301,Superfecta,102301
exotic_bet,wager_category,102302,Trifecta,NULL,102300,TBD by doc and data,,,102302,Trifecta,102302
exotic_bet,wager_category,102303,Daily Double,NULL,102300,TBD by doc and data,,,102303,Daily Double,102303
exotic_bet,wager_category,102304,Pick Three,NULL,102300,TBD by doc and data,,,102304,Pick Three,102304
exotic_bet,wager_category,102305,Pick Four,NULL,102300,TBD by doc and data,,,102305,Pick Four,102305
exotic_bet,wager_category,102306,Consolation Double,NULL,102300,TBD by doc and data,,,102306,Consolation Double,102306
exotic_bet,wager_category,102307,Pick Five,NULL,102300,TBD by doc and data,,,102307,Pick Five,102307
fraction,category,102400,Fraction#1,NULL,102400,Fraction #1,,,,,
fraction,category,102401,Fraction#2,NULL,102400,Fraction #2,,,,,
fraction,category,102402,Fraction#3,NULL,102400,Fraction #3,,,,,
fraction,category,102403,Fraction#4,NULL,102400,Fraction #4,,,,,
fraction,category,102405,Fraction#5,NULL,102400,Fraction #5,,,,,
pp2_fraction,category,102406,PP2F_Fraction,NULL,102400,??,,,102406,PP2F_Fraction,102406
pp2_fraction,category,102407,PP3F_Fraction,NULL,102400,??,,,102407,PP3F_Fraction,102407
pp2_fraction,category,102408,PP4F_Fraction,NULL,102400,??,,,102408,PP4F_Fraction,102408
pp2_fraction,category,102409,PP5F_Fraction,NULL,102400,??,,,102409,PP5F_Fraction,102409
pp2_fraction,category,102410,PP6F_Fraction,NULL,102400,??,,,102410,PP6F_Fraction,102410
pp2_fraction,category,102411,PP7F_Fraction,NULL,102400,??,,,102411,PP7F_Fraction,102411
pp2_fraction,category,102412,PP8F_Fraction,NULL,102400,??,,,102412,PP8F_Fraction,102412
pp2_fraction,category,102413,PP10F_Fraction,NULL,102400,??,,,102413,PP10F_Fraction,102413
pp2_fraction,category,102414,PP12F_Fraction,NULL,102400,??,,,102414,PP12F_Fraction,102414
pp2_fraction,category,102415,PP14F_Fraction,NULL,102400,??,,,102415,PP14F_Fraction,102415
pp2_fraction,category,102416,PP16F_Fraction,NULL,102400,??,,,102416,PP16F_Fraction,102416
pp2_fraction,category,102417,PP_Fraction#1,NULL,102400,??,,,102417,PP_Fraction#1,102417
pp2_fraction,category,102418,PP_Fraction#2,NULL,102400,??,,,102418,PP_Fraction#2,102418
pp2_fraction,category,102419,PP_Fraction#3,NULL,102400,??,,,102419,PP_Fraction#3,102419
pp2_fraction,category,102420,PP_Final,NULL,102400,??,,,102420,PP_Final,102420
call_point_distance,category,102500,StartPtOfCallDistance,NULL,102500,Pt of Call #1,,,,,
call_point_distance,category,102501,PtOfCall#1Distance,NULL,102500,Pt of Call #2,,,,,
call_point_distance,category,102502,PtOfCall#2Distance,NULL,102500,Pt of Call #3,,,,,
call_point_distance,category,102503,PtOfCall#3Distance,NULL,102500,Pt of Call #4,,,,,
,,102600,C,NULL,102600,C?,,,,,
,,102601,F,NULL,102600,F?,,,,,
,,102602,G,NULL,102600,G?,,,,,
,,102603,H,NULL,102600,H?,,,,,
,,102604,M,NULL,102600,M?,,,,,
,,102605,R,NULL,102600,R?,,,,,
odds_for_start,cateogry,102700,Morning Line,NULL,102600,R?,,,102700,Morning Line,102700
odds_for_start,cateogry,102701,Opening,NULL,102600,R?,,,102701,Opening,102701
odds_for_start,cateogry,102702,25 min,NULL,102600,R?,,,102702,25 min,102702
odds_for_start,cateogry,102703,20 min,NULL,102600,R?,,,102703,20 min,102703
odds_for_start,cateogry,102704,15 min,NULL,102600,R?,,,102704,15 min,102704
odds_for_start,cateogry,102705,10 min,NULL,102600,R?,,,102705,10 min,102705
odds_for_start,cateogry,102706,5 min,NULL,102600,R?,,,102706,5 min,102706
odds_for_start,cateogry,102707,0 min,NULL,102600,R?,,,102707,0 min,102707
odds_for_start,cateogry,102708,Closing,NULL,102600,R?,,,102708,Closing,102708
,,NULL,NULL,NULL,NULL,NULL,,,,,
